Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Successful 50/50s,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Shots,Shooting accuracy %,Big chances missed,Saves,Penalties saved,mod name,age,nationality,value_eur,overall,Season,Arial Saves,Duels %,Aerial battles %
Forward,36,0.0,0.0,21.0,0,0.0,9.0,2.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0,510,14.17,2.0,16.0,0,0.0,0.0,10,0,53,26.0,9,1.0,7.0,1.0,0.0,0.25,60.0,37,3.0,0.0,0.0,Ashley Barnes,27,Austria,6000000,74,2017-18,0.0,0.0,0.0
Forward,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Modou Barrow,24,Gambia,4100000,72,2017-18,0.0,0.0,0.0
Midfielder,25,0.0,0.0,35.0,54,0.0,5.0,14.0,32.0,22.0,0.0,148.0,10.0,0.0,0.0,1,927,37.08,2.0,28.0,32,3.0,64.0,4,0,28,1.0,1,0.0,0.0,1.0,0.0,0.04,16.0,38,0.0,0.0,0.0,Gareth Barry,36,England,1700000,79,2017-18,0.0,48.62385321100918,47.05882352941177
Defender,5,0.0,4.0,3.0,67,0.0,0.0,4.0,21.0,12.0,0.0,3.0,0.0,0.0,0.0,0,115,23.0,0.0,0.0,0,0.0,7.0,2,0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Kyle Bartley,26,England,4000000,73,2017-18,0.0,66.66666666666667,77.77777777777777
Defender,15,4.0,18.0,24.0,71,0.0,2.0,12.0,40.0,15.0,0.0,54.0,12.0,0.0,0.0,0,286,19.07,1.0,39.0,26,0.0,23.0,4,0,19,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Moritz Bauer,25,Austria,1900000,70,2017-18,0.0,50.0,46.34146341463415
Defender,5,1.0,5.0,6.0,50,0.0,0.0,5.0,27.0,19.0,0.0,28.0,0.0,0.0,0.0,0,181,36.2,0.0,0.0,0,0.0,8.0,1,0,3,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Jan Bednarek,21,Poland,1400000,68,2017-18,0.0,36.8421052631579,29.166666666666668
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Valon Behrami,32,Switzerland,5000000,77,2017-18,0.0,0.0,0.0
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Yasin El-Mhanni,21,England,140000,56,2017-18,0.0,0.0,0.0
Defender,1,0.0,2.0,7.0,43,0.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0,27,27.0,0.0,3.0,0,0.0,2.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Yohan Benalouane,30,Tunisia,4900000,75,2017-18,0.0,66.66666666666667,50.0
Forward,15,0.0,0.0,2.0,0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,95,6.33,1.0,4.0,0,0.0,0.0,0,0,6,4.0,0,0.0,0.0,0.0,0.0,0.0,10.0,40,3.0,0.0,0.0,Saido Berahino,23,England,10500000,76,2017-18,0.0,0.0,0.0
Forward,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Steven Berghuis,25,Netherlands,9500000,76,2017-18,0.0,0.0,0.0
Midfielder,35,0.0,0.0,27.0,67,0.0,1.0,10.0,10.0,1.0,0.0,73.0,29.0,0.0,0.0,4,935,26.71,3.0,50.0,18,2.0,21.0,0,0,9,0.0,6,0.0,1.0,5.0,1.0,0.17,25.0,56,3.0,0.0,0.0,Bernardo Silva,22,Portugal,43500000,84,2017-18,0.0,51.16279069767442,26.31578947368421
