Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Artur Boruc,37,Poland,600000,77,2017-18
Midfielder,26,,,37.0,65%,,14.0,6.0,6.0,2.0,,81.0,132.0,137.0,61.0,6.0,13.0,,0.0,2,532,20.46,2.0,40.0,20%,6.0,13.0,1,0,27,2.0,2,0.0,1.0,1.0,0.0,0.08,0.0,0.0,30.0,6.0,20%,1.0,,,,,,,,,Sofiane Boufal,23,Morocco,17000000,79,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,George Boyd,31,Scotland,2700000,72,2017-18
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Brad Smith,23,Australia,700000,65,2017-18
Midfielder,15,,,32.0,66%,,11.0,7.0,25.0,11.0,,74.0,68.0,81.0,16.0,9.0,12.0,,0.0,2,454,30.27,3.0,123.0,32%,4.0,31.0,3,0,20,3.0,1,0.0,1.0,0.0,1.0,0.07,0.0,0.0,24.0,6.0,25%,0.0,,,,,,,,,Robbie Brady,25,Republic of Ireland,9500000,76,2017-18
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Cohen Bramall,21,England,500000,61,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Cameron Brannagan,21,England,1700000,69,2017-18
Goalkeeper,3,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0,55,18.33,,,,,10.0,0,0,0,,0,,,,,,,,,,,,4.0,0.0,0.0,2.0,2.0,2.0,16.0,10.0,Claudio Bravo,20,Argentina,190000,58,2017-18
Midfielder,5,,,6.0,83%,,0.0,1.0,1.0,1.0,,19.0,7.0,18.0,0.0,0.0,4.0,,0.0,0,137,27.4,0.0,1.0,0%,0.0,2.0,1,0,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Leon Britton,34,England,2700000,77,2017-18
Midfielder,13,,,3.0,100%,,0.0,1.0,2.0,0.0,,17.0,25.0,43.0,6.0,13.0,24.0,,0.0,0,129,9.92,1.0,7.0,29%,0.0,5.0,0,0,3,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100%,0.0,,,,,,,,,Isaiah Brown,20,England,3800000,71,2017-18
