Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Midfielder,27,,,15.0,67%,,14.0,8.0,13.0,8.0,,89.0,76.0,71.0,15.0,19.0,8.0,,1.0,5,954,35.33,4.0,7.0,14%,4.0,40.0,1,0,14,0.0,3,0.0,2.0,1.0,1.0,0.11,0.0,0.0,41.0,9.0,22%,3.0,,,,,,,,,Ross Barkley,24,England,16000000,79,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Daniel Barlaser,21,England,450000,60,2018-19
Forward,37,,,28.0,,,14.0,2.0,24.0,16.0,,,,,,,,,,2,518,14.0,6.0,6.0,,,,8,0,54,22.0,12,2.0,9.0,1.0,2.0,0.32,2.0,0.0,65.0,30.0,46%,13.0,,,,,,,,,Ashley Barnes,28,Austria,9000000,77,2018-19
Defender,1,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2.0,0.0,1.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Antonio Barreca,23,Italy,7500000,75,2018-19
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Danny Batth,27,England,1700000,70,2018-19
Defender,25,3.0,37.0,41.0,61%,1.0,2.0,71.0,168.0,76.0,2.0,129.0,127.0,105.0,1.0,80.0,61.0,0.0,0.0,1,822,32.88,1.0,1.0,0%,3.0,42.0,7,0,22,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Jan Bednarek,22,Poland,3200000,71,2018-19
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Yohan Benalouane,31,Tunisia,3800000,74,2018-19
Defender,30,8.0,50.0,50.0,58%,0.0,4.0,60.0,84.0,30.0,0.0,129.0,143.0,74.0,24.0,35.0,17.0,0.0,0.0,1,694,23.13,0.0,43.0,26%,2.0,41.0,5,0,20,1.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Joe Bennett,28,England,1900000,71,2018-19
Midfielder,36,,,52.0,75%,,26.0,25.0,24.0,7.0,,164.0,136.0,182.0,49.0,11.0,27.0,,0.0,7,"1,706",47.39,10.0,70.0,17%,10.0,72.0,3,0,31,2.0,7,1.0,0.0,6.0,0.0,0.19,0.0,0.0,62.0,22.0,35%,8.0,,,,,,,,,Bernardo Silva,23,Portugal,42500000,84,2018-19
Defender,24,6.0,42.0,46.0,59%,0.0,4.0,27.0,44.0,17.0,0.0,76.0,111.0,104.0,6.0,38.0,44.0,0.0,0.0,0,774,32.25,3.0,93.0,24%,1.0,19.0,8,0,26,0.0,1,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,Ryan Bertrand,28,England,10000000,79,2018-19
